Type,Precision,Recall,F1,Support
Type-2,1.0,0.8333333333333334,0.9090909090909091,
Type-3,1.0,0.9428571428571428,0.9705882352941176,
Type-4,1.0,0.7424242424242424,0.8521739130434782,
